model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score,tp,fp,tn,fn
security_camera_MLP_2_2,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_2,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_2,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_2,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_2_sgd,test,session,1,1,0,0.969,0.966702470461869,1.0,0.9830693610049154,900,0.845,69,0,900,31
security_camera_MLP_2_2_sgd,test,session,1,1,1,0.969,1.0,0.69,0.8165680473372781,100,0.845,69,0,900,31
security_camera_MLP_2_2_sgd,test,sequence,1,57,0,0.969,0.966702470461869,1.0,0.9830693610049154,900,0.845,69,0,900,31
security_camera_MLP_2_2_sgd,test,sequence,1,57,1,0.969,1.0,0.69,0.8165680473372781,100,0.845,69,0,900,31
security_camera_MLP_2_3,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_3,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_3,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_3,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_3_sgd,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_3_sgd,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_3_sgd,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_3_sgd,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_4,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_4,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_4,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_4,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_4_sgd,test,session,1,1,0,0.934,0.9325726141078838,0.9988888888888889,0.9645922746781116,900,0.6744444444444446,35,1,899,65
security_camera_MLP_2_4_sgd,test,session,1,1,1,0.934,0.9722222222222222,0.35,0.5147058823529411,100,0.6744444444444446,35,1,899,65
security_camera_MLP_2_4_sgd,test,sequence,1,99,0,0.934,0.9325726141078838,0.9988888888888889,0.9645922746781116,900,0.6744444444444446,35,1,899,65
security_camera_MLP_2_4_sgd,test,sequence,1,99,1,0.934,0.9722222222222222,0.35,0.5147058823529411,100,0.6744444444444446,35,1,899,65
security_camera_MLP_2_5,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_5,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_5,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_2_5,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_2_5_sgd,test,session,1,1,0,0.98,0.9878048780487805,0.99,0.9889012208657048,900,0.9400000000000001,89,9,891,11
security_camera_MLP_2_5_sgd,test,session,1,1,1,0.98,0.9081632653061225,0.89,0.8989898989898989,100,0.9400000000000001,89,9,891,11
security_camera_MLP_2_5_sgd,test,sequence,1,51,0,0.98,0.9878048780487805,0.99,0.9889012208657048,900,0.9400000000000001,89,9,891,11
security_camera_MLP_2_5_sgd,test,sequence,1,51,1,0.98,0.9081632653061225,0.89,0.8989898989898989,100,0.9400000000000001,89,9,891,11
security_camera_MLP_3_1,test,session,1,1,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_3_1,test,session,1,1,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_3_1,test,sequence,1,99,0,0.9,0.9,1.0,0.9473684210526316,900,0.5,0,0,900,100
security_camera_MLP_3_1,test,sequence,1,99,1,0.9,0.0,0.0,0.0,100,0.5,0,0,900,100
security_camera_MLP_3_1_sgd,test,session,1,1,0,0.968,0.9666666666666667,0.9988888888888889,0.9825136612021859,900,0.8444444444444444,69,1,899,31
security_camera_MLP_3_1_sgd,test,session,1,1,1,0.968,0.9857142857142858,0.69,0.8117647058823529,100,0.8444444444444444,69,1,899,31
security_camera_MLP_3_1_sgd,test,sequence,1,51,0,0.968,0.9666666666666667,0.9988888888888889,0.9825136612021859,900,0.8444444444444444,69,1,899,31
security_camera_MLP_3_1_sgd,test,sequence,1,51,1,0.968,0.9857142857142858,0.69,0.8117647058823529,100,0.8444444444444444,69,1,899,31
security_camera_MLP_3_2,test,session,1,1,0,0.976,1.0,0.9733333333333334,0.9864864864864865,900,0.9866666666666667,100,24,876,0
security_camera_MLP_3_2,test,session,1,1,1,0.976,0.8064516129032258,1.0,0.8928571428571428,100,0.9866666666666667,100,24,876,0
security_camera_MLP_3_2,test,sequence,1,99,0,0.976,1.0,0.9733333333333334,0.9864864864864865,900,0.9866666666666667,100,24,876,0
security_camera_MLP_3_2,test,sequence,1,99,1,0.976,0.8064516129032258,1.0,0.8928571428571428,100,0.9866666666666667,100,24,876,0
security_camera_MLP_3_2_sgd,test,session,1,1,0,0.957,0.9930955120828538,0.9588888888888889,0.9756924816280383,900,0.9494444444444444,94,37,863,6
security_camera_MLP_3_2_sgd,test,session,1,1,1,0.957,0.7175572519083969,0.94,0.8138528138528137,100,0.9494444444444444,94,37,863,6
security_camera_MLP_3_2_sgd,test,sequence,1,99,0,0.957,0.9930955120828538,0.9588888888888889,0.9756924816280383,900,0.9494444444444444,94,37,863,6
security_camera_MLP_3_2_sgd,test,sequence,1,99,1,0.957,0.7175572519083969,0.94,0.8138528138528137,100,0.9494444444444444,94,37,863,6
security_camera_MLP_3_3,test,session,1,1,0,0.982,1.0,0.98,0.98989898989899,900,0.99,100,18,882,0
security_camera_MLP_3_3,test,session,1,1,1,0.982,0.847457627118644,1.0,0.9174311926605504,100,0.99,100,18,882,0
security_camera_MLP_3_3,test,sequence,1,99,0,0.982,1.0,0.98,0.98989898989899,900,0.99,100,18,882,0
security_camera_MLP_3_3,test,sequence,1,99,1,0.982,0.847457627118644,1.0,0.9174311926605504,100,0.99,100,18,882,0
security_camera_MLP_3_3_sgd,test,session,1,1,0,0.965,0.9988465974625144,0.9622222222222222,0.9801924165251839,900,0.9761111111111112,99,34,866,1
security_camera_MLP_3_3_sgd,test,session,1,1,1,0.965,0.7443609022556391,0.99,0.8497854077253219,100,0.9761111111111112,99,34,866,1
security_camera_MLP_3_3_sgd,test,sequence,1,99,0,0.965,0.9988465974625144,0.9622222222222222,0.9801924165251839,900,0.9761111111111112,99,34,866,1
security_camera_MLP_3_3_sgd,test,sequence,1,99,1,0.965,0.7443609022556391,0.99,0.8497854077253219,100,0.9761111111111112,99,34,866,1
security_camera_MLP_3_4,test,session,1,1,0,0.998,1.0,0.9977777777777778,0.9988876529477196,900,0.9988888888888888,100,2,898,0
security_camera_MLP_3_4,test,session,1,1,1,0.998,0.9803921568627451,1.0,0.99009900990099,100,0.9988888888888888,100,2,898,0
security_camera_MLP_3_4,test,sequence,1,99,0,0.998,1.0,0.9977777777777778,0.9988876529477196,900,0.9988888888888888,100,2,898,0
security_camera_MLP_3_4,test,sequence,1,99,1,0.998,0.9803921568627451,1.0,0.99009900990099,100,0.9988888888888888,100,2,898,0
security_camera_MLP_3_4_sgd,test,session,1,1,0,0.987,0.9977553310886644,0.9877777777777778,0.9927414852037967,900,0.9838888888888889,98,11,889,2
security_camera_MLP_3_4_sgd,test,session,1,1,1,0.987,0.8990825688073395,0.98,0.937799043062201,100,0.9838888888888889,98,11,889,2
security_camera_MLP_3_4_sgd,test,sequence,1,99,0,0.987,0.9977553310886644,0.9877777777777778,0.9927414852037967,900,0.9838888888888889,98,11,889,2
